iyear,ingroup,ingroup2,ingroup3,nperps,nperpcap,nkill,nkillter,nwound,nwoundte,propextent,propvalue
1970,638,,,-99,-99,0,0,0,0,3,2000
1970,638,,,-99,-99,0,0,0,0,3,1000
1970,2373,,,-99,-99,0,0,3,0,,
1970,1110,,,-99,0,0,0,3,0,2,3000000
1970,-9,,,,,36,,0,,2,2000000
1970,453,,,3,-99,0,0,0,0,3,30000
1970,612,,,-99,-99,0,0,0,0,3,
1970,1110,,,-99,-99,0,0,0,0,3,
1970,1110,,,-99,-99,0,0,0,0,,
1970,1110,,,-99,-99,0,0,0,0,3,
1970,1110,,,2,-99,0,0,0,0,,
1970,453,,,-99,-99,0,0,0,0,3,40000
1970,3956,,,-99,-99,0,0,0,0,3,
1970,3956,,,-99,-99,0,0,0,0,3,
1970,3956,,,-99,-99,0,0,0,0,,
1970,3956,,,-99,-99,0,0,0,0,,
1970,1110,,,-99,-99,0,0,0,0,3,100000
1970,4659,,,3,3,1,0,1,0,,
1970,453,,,-99,-99,0,0,0,0,3,
1970,10047,,,2,2,0,0,0,0,3,
1970,534,,,,,0,,0,,,
1970,453,,,1,1,0,0,0,0,4,
1970,453,,,-99,-99,0,0,0,0,3,333
1970,453,,,-99,-99,0,0,0,0,3,333
1970,453,,,-99,-99,0,0,0,0,3,333
1970,2373,,,,,0,,0,,3,100000
1970,2373,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,4,
1970,2373,,,-99,-99,0,0,2,0,3,20000
1970,1110,,,-99,-99,0,0,0,0,3,2500
1970,1110,,,-99,-99,0,0,0,0,3,15000
1970,1110,,,-99,-99,0,0,0,0,,
1970,453,,,-99,-99,0,0,0,0,,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,3776,,,,,0,,0,,,
1970,-9,,,,,,,,,,
1970,2373,,,-99,-99,0,0,0,0,,
1970,2373,,,-99,-99,0,0,0,0,,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,4293,,,-99,-99,0,0,1,0,3,
1970,453,,,4,-99,0,0,0,0,3,
1970,1110,,,-99,-99,0,0,0,0,3,
1970,1110,,,-99,-99,0,0,2,0,3,
1970,3950,,,-99,-99,0,0,10,0,3,
1970,3950,,,-99,-99,0,0,1,0,3,
1970,10039,,,-99,-99,0,0,0,0,3,
1970,10039,,,-99,-99,0,0,0,0,3,
1970,534,,,2,,1,,1,,,
1970,612,,,-99,-99,0,0,0,0,3,
1970,1110,,,-99,-99,0,0,0,0,4,
1970,453,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,4,
1970,3776,,,,,0,,0,,,
1970,453,,,1,1,0,0,0,0,3,250000
1970,10007,,,-99,-99,0,0,0,0,4,
1970,453,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,2,0,4,
1970,453,,,-99,-99,0,0,0,0,3,200
1970,453,,,-99,-99,0,0,0,0,4,
1970,453,,,-99,-99,0,0,0,0,4,
1970,453,,,-99,-99,0,0,0,0,3,1000
1970,453,,,2,2,0,0,0,0,,
1970,453,,,-99,-99,0,0,0,0,3,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,3,
1970,10043,,,-99,-99,0,0,12,0,3,100000
1970,453,,,-99,-99,0,0,0,0,3,10000
1970,2373,,,-99,-99,1,0,0,0,,
1970,3776,,,,,0,,0,,,
1970,1231,,,,,0,0,0,0,,
1970,3848,,,,,,,,,,
1970,3027,,,4,4,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,3,50000
1970,4659,,,-99,-99,0,0,2,0,3,200000
1970,453,,,-99,-99,0,0,0,0,3,9000
1970,2373,,,-99,-99,0,0,0,0,3,
1970,10007,,,6,6,0,0,0,0,4,
1970,453,,,-99,-99,0,0,0,0,4,
1970,1110,,,-99,-99,0,0,0,0,3,
1970,1110,,,-99,-99,0,0,0,0,,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,-9,,,,,,,,,,
1970,623,,,4,,0,,0,,3,60000
1970,-9,,,,,,,,,4,
1970,2373,,,1,0,1,1,0,0,,
1970,3581,,,3,,0,,0,,,
1970,453,,,-99,-99,0,0,0,0,3,1600
1970,-9,,,-99,-99,0,0,0,0,3,600000
1970,453,,,-99,-99,0,0,0,0,,
1970,10007,,,5,5,0,0,0,0,4,
1970,612,,,-99,-99,0,0,0,0,3,
1970,1236,,,6,,0,0,3,0,,
1970,2373,,,2,2,1,0,0,0,,
1970,4659,,,-99,-99,0,0,10,0,3,50000
1970,2373,,,-99,-99,0,0,0,0,3,
1970,2373,,,-99,,0,0,0,0,2,2500000
1970,2373,,,-99,-99,0,0,0,0,2,2500000
1970,453,,,-99,-99,0,0,0,0,3,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,2373,,,-99,-99,0,0,0,0,3,10000
1970,4659,,,6,,1,,0,,,
1970,453,,,-99,-99,0,0,0,0,,
1970,1110,,,-99,-99,0,0,0,0,3,
1970,585,,,-99,-99,0,0,0,0,3,25000
1970,477,,,,,1,,0,,,
1970,623,,,42,,0,,0,,3,15000
1970,2373,,,-99,-99,0,0,0,0,4,
1970,453,,,1,1,0,0,0,0,3,231000
1970,453,,,-99,-99,0,0,0,0,3,3000
1970,477,,,4,,1,,0,,,
1970,-9,,,,,1,,12,,3,75000
1970,-9,,,-99,-99,0,0,0,0,3,40000
1970,20202,,,-99,-99,0,0,1,0,3,
1970,453,,,-99,-99,0,0,0,0,4,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,1110,,,-99,-99,0,0,0,0,3,10000
1970,3844,,,,,0,,0,,3,500
1970,3776,,,,,,,,,4,
1970,3776,,,,,,,,,4,
1970,-9,,,-99,-99,0,0,0,0,3,150000
1970,2373,,,-99,-99,0,0,0,0,,
1970,-9,,,,,0,,1,,,
1970,838,,,,,,,0,,,
1970,2373,,,-99,-99,0,0,0,0,3,5000
1970,1231,,,,,0,,0,,3,10000
1970,453,,,-99,-99,0,0,0,0,3,
1970,6012,,,3,,0,,0,,,
1970,838,,,,,,,,,,
1970,1231,,,,,,,,,3,10000
1970,838,,,,,0,,0,,4,
1970,838,,,,,0,,0,,4,
1970,453,,,-99,-99,0,0,0,0,3,
1970,2373,,,-99,-99,0,0,1,0,3,
1970,838,,,,,1,,0,,,
1970,3557,,,,,1,,0,,,
1970,-9,,,,,,,,,,
1970,4659,,,-99,-99,0,0,0,0,3,
1970,623,,,5,,0,,0,,3,2500
1970,2373,,,-99,-99,0,0,0,0,,
1970,2373,,,-99,-99,0,0,1,0,,
1970,4659,,,-99,-99,0,0,20,0,3,150000
1970,2373,,,-99,-99,0,0,0,0,3,
1970,-9,,,,,,,,,,
1970,-9,,,,,,,,,,
1970,2373,,,-99,-99,0,0,0,0,3,
1970,2373,,,-99,-99,0,0,3,0,4,
1970,1110,,,2,-99,0,0,0,0,3,
1970,2373,,,1,-99,0,0,0,0,4,
1970,-9,,,,,,,,,3,25000
1970,-9,,,,,0,,0,,3,10000
1970,2373,,,2,2,1,0,0,0,,
1970,2373,,,-99,-99,1,0,0,0,,
1970,4659,,,-99,-99,0,0,0,0,,
1970,-9,,,,,,,,,,
1970,453,,,-99,-99,0,0,0,0,,
1970,1236,,,,,0,,0,,3,3000
1970,638,,,1,1,0,0,0,0,3,
1970,417,,,,,5,3,,,,
1970,417,,,,,3,,,,,
1970,417,,,,,1,,,,,
1970,417,,,,,1,,,,,
1970,629,,,,,3,2,1,,,
1970,3618,,,2,,0,,3,,,
1970,4659,,,-99,-99,0,0,0,0,3,300000
1970,453,,,-99,-99,0,0,0,0,,
1970,2373,,,-99,-99,1,0,1,0,3,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,-9,,,-99,-99,0,0,0,0,3,
1970,453,,,-99,-99,0,0,0,0,,
1970,2373,,,-99,-99,0,0,0,0,3,5000
1970,-9,,,4,,0,0,0,0,,
1970,4657,,,-99,-99,0,0,0,0,3,
1970,1110,,,-99,-99,0,0,0,0,3,7000
1970,4657,,,,,0,,0,,3,2500
1970,4657,,,,,0,,0,,3,2000
1970,4657,,,,,0,,0,,3,1000
1970,4657,,,,,0,,0,,3,2000
1970,4659,,,-99,-99,0,0,0,0,3,
1970,2373,,,1,0,1,1,0,0,3,
1970,638,,,-99,-99,0,0,0,0,,
1970,10042,,,-99,-99,0,0,0,0,3,3000
1970,-9,,,,,0,,0,,3,1000
1970,453,,,1,1,0,0,0,0,3,
